,subdomain,Substack reactions,Tweet Count,rankingDetailFreeIncluded,rankingDetailFreeIncludedOrderOfMagnitude
396,musgrave,59.0,0,Thousands of readers,1000.0
397,myclimatejourney,48.0,2,Tens of thousands of readers,10000.0
398,myqkaplan,46.0,39,Thousands of readers,1000.0
399,mysweetdumbbrain,204.0,1,Tens of thousands of readers,10000.0
400,natashalipman,52.0,5,,
401,nbabigboard,21.0,26,Thousands of readers,1000.0
402,neckar,222.0,0,Tens of thousands of readers,10000.0
403,neilshea,14.0,0,Hundreds of readers,100.0
404,nekocase,394.0,5,Tens of thousands of readers,10000.0
405,neonliterary,44.0,14,Thousands of readers,1000.0
406,netinterest,78.0,3,Tens of thousands of readers,10000.0
407,newcomer,156.0,15,Tens of thousands of readers,10000.0
408,newdiscourses,31.0,20,Thousands of readers,1000.0
409,newsitems,85.0,0,Tens of thousands of readers,10000.0
410,nicoledessainbook,1.0,10,Hundreds of readers,100.0
411,nlckstocks,184.0,15,Thousands of readers,1000.0
412,nnekaj,0.0,0,Thousands of readers,1000.0
413,noahcarl,69.0,0,Thousands of readers,1000.0
414,noahpinion,1437.0,436,Tens of thousands of readers,10000.0
415,nomada,0.0,121,Thousands of readers,1000.0
416,nongaap,77.0,15,Thousands of readers,1000.0
417,nonzero,62.0,9,Tens of thousands of readers,10000.0
418,noraecatlin,0.0,0,Tens of readers,10.0
419,notdrinkingpoison,22.0,8,Thousands of readers,1000.0
420,numlock,150.0,57,Tens of thousands of readers,10000.0
421,oldloserinbrooklyn,0.0,0,Thousands of readers,1000.0
422,olgakaetano,0.0,16,Hundreds of readers,100.0
423,oliverbatemandoesthework,44.0,137,Thousands of readers,1000.0
424,onfootball,237.0,180,Thousands of readers,1000.0
425,outofthecube,1.0,0,Thousands of readers,1000.0
426,pallaviaiyar,15.0,21,Thousands of readers,1000.0
427,paresky,0.0,0,Thousands of readers,1000.0
428,parisbymouth,70.0,0,Tens of thousands of readers,10000.0
429,pattismith,1261.0,0,Tens of thousands of readers,10000.0
430,paulflannery,34.0,0,Thousands of readers,1000.0
431,paulgryan,16.0,0,Hundreds of readers,100.0
