,Substack Readership Rank,Twitter Followers
280,"Hundreds
of readers",49407.0
283,"Hundreds
of readers",251.0
284,"Thousands
of readers",1917.0
285,"Hundreds
of readers",734.0
286,"Hundreds
of thousands
of readers",219422.0
289,"Tens of
thousands
of readers",329901.0
291,"Tens of
thousands
of readers",90221.0
292,"Tens of
thousands
of readers",283183.0
294,"Tens of
thousands
of readers",651228.0
295,"Tens of
thousands
of readers",17632.0
296,"Hundreds
of readers",10.0
297,"Tens of
thousands
of readers",52734.0
298,"Thousands
of readers",971.0
299,"Thousands
of readers",42464.0
300,"Thousands
of readers",
301,"Thousands
of readers",10295.0
302,"Tens of
thousands
of readers",234049.0
304,"Thousands
of readers",1579.0
305,"Thousands
of readers",13903.0
306,"Thousands
of readers",645.0
307,"Thousands
of readers",21292.0
308,"Hundreds
of readers",2963.0
309,"Thousands
of readers",1531.0
311,"Thousands
of readers",2996.0
312,"Thousands
of readers",4016.0
313,"Thousands
of readers",4950.0
314,"Thousands
of readers",55846.0
315,"Thousands
of readers",44863.0
317,"Thousands
of readers",33132.0
318,"Thousands
of readers",1431.0
319,"Hundreds
of readers",2959.0
320,"Tens of
thousands
of readers",3684.0
322,"Thousands
of readers",5228.0
324,"Tens of
thousands
of readers",11557.0
326,"Thousands
of readers",1071.0
327,"Thousands
of readers",53233.0
330,"Thousands
of readers",40083.0
331,"Hundreds
of readers",2675.0
334,"Thousands
of readers",1838.0
336,"Hundreds
of thousands
of readers",115937.0
337,"Tens of
thousands
of readers",17892.0
338,"Tens of
thousands
of readers",42056.0
340,"Tens of
thousands
of readers",16748.0
343,"Tens of
thousands
of readers",
344,"Thousands
of readers",49.0
345,"Tens of
thousands
of readers",52679.0
347,"Thousands
of readers",26231.0
348,"Tens of
thousands
of readers",124414.0
350,"Tens of
thousands
of readers",13407.0
352,"Tens of
thousands
of readers",4365.0
353,"Thousands
of readers",4390.0
355,"Thousands
of readers",8886.0
356,"Thousands
of readers",4676.0
357,"Thousands
of readers",265440.0
358,"Thousands
of readers",3865.0
359,"Tens of
thousands
of readers",480996.0
360,"Tens of
thousands
of readers",193447.0
361,"Tens of
thousands
of readers",72739.0
362,"Thousands
of readers",8670.0
363,"Thousands
of readers",39734.0
364,"Tens of
thousands
of readers",49169.0
365,"Thousands
of readers",5064.0
367,"Tens of
thousands
of readers",3073.0
368,"Thousands
of readers",2669.0
369,"Thousands
of readers",302995.0
370,"Thousands
of readers",210645.0
372,"Hundreds
of readers",
373,"Thousands
of readers",23969.0
374,"Thousands
of readers",358.0
377,"Thousands
of readers",626.0
378,"Hundreds
of readers",1030.0
379,"Thousands
of readers",90711.0
380,"Hundreds
of readers",2471.0
382,"Hundreds
of readers",3.0
384,"Tens of
thousands
of readers",61299.0
385,"Tens of
thousands
of readers",106838.0
386,"Tens of
thousands
of readers",612363.0
387,"Tens of
thousands
of readers",153305.0
389,"Tens of
thousands
of readers",5808.0
390,"Tens of
thousands
of readers",9775.0
391,"Tens of
thousands
of readers",2211.0
393,"Tens of
thousands
of readers",31275.0
395,"Tens of
thousands
of readers",14605.0
396,"Thousands
of readers",495042.0
398,"Thousands
of readers",1276.0
399,"Thousands
of readers",135318.0
400,"Thousands
of readers",99.0
401,"Thousands
of readers",29301.0
402,Readership N/A,4998.0
403,"Hundreds
of readers",36.0
404,"Thousands
of readers",17845.0
405,"Thousands
of readers",319.0
406,"Thousands
of readers",1451.0
408,"Tens of
thousands
of readers",37921.0
409,"Tens of
thousands
of readers",240139.0
410,"Tens of
thousands
of readers",254958.0
411,"Tens of
thousands
of readers",7710.0
412,"Tens of
thousands
of readers",9992.0
413,"Thousands
of readers",
416,"Tens of
thousands
of readers",22101.0
417,"Thousands
of readers",14973.0
419,"Tens of
thousands
of readers",8866.0
421,"Tens of
thousands
of readers",715069.0
422,"Tens of
thousands
of readers",224511.0
423,"Tens of
thousands
of readers",29833.0
424,"Thousands
of readers",9180.0
426,"Thousands
of readers",1224.0
427,"Thousands
of readers",3009.0
428,"Thousands
of readers",8481.0
